Star Number,Image 2 x,Image 2 y,Brightness,Radius
1,713,951,0.004145355895161629,31.0
2,807,934,0.00043214918696321547,44.6400032043457
3,133,369,0.004235419910401106,31.0
4,712,951,0.002149624517187476,37.20000076293945
5,338,1323,0.006186382379382849,37.20000076293945
6,808,935,6.0881020544911735e-06,77.137939453125
7,340,1324,0.006016477942466736,31.0
8,440,1327,1.3613497685582843e-05,44.6400032043457
9,310,511,7.970287697389722e-05,37.20000076293945
10,1049,1538,5.1389856707828585e-06,31.0
11,862,1042,5.01603437896847e-07,31.0
12,711,950,1.527150016045198e-05,77.137939453125
13,760,508,4.461248011011776e-07,37.20000076293945
14,626,495,2.079539854094037e-06,44.6400032043457
15,132,987,5.06197352478921e-07,44.6400032043457
16,886,1226,3.9333393942797557e-05,53.5680046081543
17,576,512,6.870214292575838e-06,44.6400032043457
18,772,1026,2.895510260714218e-05,37.20000076293945
19,861,432,3.6182038456900045e-05,37.20000076293945
20,775,1413,0.0005603577592410147,53.5680046081543
21,887,1226,9.06460263649933e-05,44.6400032043457
22,652,182,1.3311154134498793e-06,44.6400032043457
23,776,1412,0.0012080550659447908,44.6400032043457
24,861,432,2.0884426703560166e-05,44.6400032043457
25,976,1397,1.5508261412833235e-06,53.5680046081543
26,575,513,8.746036428419757e-07,53.5680046081543
27,656,1005,1.4758603583686636e-06,44.6400032043457
28,938,1362,1.503706425864948e-05,44.6400032043457
29,939,1362,0.00012701265222858638,31.0
30,651,183,3.613524484080699e-07,53.5680046081543
31,713,949,2.2428157535614446e-06,92.5655288696289
32,657,1004,2.3189792045741342e-05,37.20000076293945
33,93,954,0.00016800902085378766,31.0
34,777,1414,0.00019562794477678835,64.28160858154297
35,700,1135,0.0002649775124154985,31.0
36,133,368,0.0017111378256231546,37.20000076293945
37,1048,1537,2.611156730836228e-07,44.6400032043457
38,913,273,0.0002807722776196897,31.0
39,572,1557,5.663040951731091e-07,31.0
40,913,272,7.541441300418228e-05,37.20000076293945
41,938,1361,4.893865366284444e-07,77.137939453125
42,888,436,0.0010296715190634131,31.0
43,1072,117,9.951488209480885e-06,37.20000076293945
44,725,1002,4.383265604701592e-06,31.0
45,308,510,2.760965855941322e-07,77.137939453125
46,588,438,3.882366854668362e-07,37.20000076293945
47,913,271,1.8851082472792768e-07,92.5655288696289
48,627,496,5.7012890465557575e-05,31.0
49,619,1229,1.2239401030456065e-06,44.6400032043457
50,713,951,6.895153637742624e-05,64.28160858154297
51,860,430,4.131493085424154e-07,77.137939453125
52,336,1322,1.701569817669224e-05,111.0786361694336
53,60,928,9.090217076845875e-07,31.0
54,862,431,1.3590189382739482e-06,64.28160858154297
55,658,1526,5.327922849573952e-07,31.0
56,943,1361,4.219173206365667e-05,31.0
57,913,271,6.445660574172507e-07,77.137939453125
58,117,1535,2.4571258450123423e-07,31.0
